Edinburgh Airport; 5.9 miles
Bannockburn Heritage Centre; 14.0 miles
Waverley Station; 27.0 miles
New Lanark Visitor Centre; 23.6 miles 
HMY Britannia; 40.1 miles
Dalmeny House; 7.7 miles
Royal Botanic Garden; 26.0 miles   
Stirling Castle; 22.0 milesNational Museum of Scotland; 4.9 miles
Palace of Holyroodhouse; 31.0 miles
Edinburgh Castle; 19.7 miles
Royal Yacht Britannia; 40.0 miles
Edinburgh Gin Distillery; 9.0 miles
The Scottish Parliament; 5.5 miles
St Giles Cathedral; 7.8 miles
Thunder dome; 3.6 miles 
Edinburgh Dungeon; 20.2 miles
Gilmerton Cove; 15.0 miles
Edinburgh zoo; 6.5 miles
Craigmillar Castle; 31.0 miles






